                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.8975,                 2.8039,                 1.5048,                0.84731,                0.60597,                0.66581,                 0.3834,                 1.4354,                 1.1608,                 1.1042,              0.0033148,              0.0033148,              0.0033148
                      1,                 1.4373,                 1.2036,                 1.1771,                0.89395,                0.72735,                0.80014,                0.45769,                 1.3578,                0.92363,                 1.0471,              0.0066043,              0.0066043,              0.0066043
                      2,                 1.4347,                 1.1633,                 1.1883,                0.78236,                0.64834,                0.69063,                0.38248,                 1.4499,                 1.1983,                 1.1152,              0.0098497,              0.0098497,              0.0098497
                      3,                 1.4491,                 1.2054,                 1.2125,                0.65522,                0.68467,                0.70337,                0.37886,                 1.4117,                 1.2685,                 1.1499,               0.009802,               0.009802,               0.009802
                      4,                 1.3966,                 1.1225,                  1.183,                0.81103,                 0.6876,                0.77595,                0.44767,                 1.2982,                 1.0644,                 1.0569,               0.009802,               0.009802,               0.009802
                      5,                 1.3567,                 1.0487,                 1.1655,                0.87116,                0.72796,                0.77618,                 0.4572,                 1.3224,                0.98985,                 1.0756,               0.009736,               0.009736,               0.009736
                      6,                 1.3267,                  1.004,                 1.1481,                0.85727,                0.77663,                0.84358,                0.50633,                 1.2462,                0.86323,                 1.0331,                0.00967,                0.00967,                0.00967
                      7,                 1.2949,                 0.9684,                  1.132,                0.79604,                0.80805,                0.82437,                0.50497,                 1.2609,                0.89525,                 1.0301,               0.009604,               0.009604,               0.009604
                      8,                 1.2802,                0.94382,                 1.1218,                0.93353,                0.77123,                0.85757,                0.53414,                 1.1973,                0.82099,                0.98273,               0.009538,               0.009538,               0.009538
                      9,                 1.2582,                0.91301,                 1.1163,                0.84756,                0.81847,                0.85262,                0.53515,                 1.2192,                0.78556,                 1.0041,               0.009472,               0.009472,               0.009472
                     10,                  1.241,                0.89002,                 1.1075,                0.86923,                  0.847,                0.87422,                 0.5566,                 1.1514,                0.77184,                0.98532,               0.009406,               0.009406,               0.009406
                     11,                 1.2317,                0.86969,                    1.1,                0.80342,                0.86991,                0.87486,                0.54835,                 1.1723,                0.74017,                0.97987,                0.00934,                0.00934,                0.00934
